name,desc,image url,price,rating,store name
Oppo Reno 5 8GB+128GB Garansi Resmi Oppo 1 Tahun,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/4781ea80-79af-4869-a48e-54dde522ee5e.jpg.webp?ect=4g,Rp4.095.000,5,
INFINIX NOTE 10 PRO NFC RAM 8 128 RAM 6 64 GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/9/2aa16215-3e82-4546-9cdb-f8a99fc20b04.jpg.webp?ect=4g,Rp2.499.000,5,
Itel Vision 1 Pro ( 2/32Gb / 3/32Gb ) Garansi Resmi by Infinix,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/17/8d69c008-48d1-4bb1-86b1-c9a7a969ca6d.jpg.webp?ect=4g,Rp1.035.000,5,
Samsung M12 3/32 4/64 GB Mediatek Android RAM 3 4 ROM 32 64 Resmi SEIN,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/a470e77e-f091-4f1b-ba06-111acca93c46.png.webp?ect=4g,Rp1.699.000,5,
Infinix Hot 10s 6/128 RAM 6GB ROM 128GB GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/19/3409ba08-6526-42e9-9d9e-6e5315a3190a.jpg.webp?ect=4g,Rp2.009.000,5,
INFINIX SMART 5 RAM 2 32 GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/15/25eae716-c7b4-41b0-8d8e-8b13691b3bb7.jpg.webp?ect=4g,Rp1.225.000,5,
Samsung Galaxy A03S [4G] [64GB/4GB] - Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/c581c0d6-6def-454e-a6c0-325a993f92f6.png.webp?ect=4g,Rp1.758.000,5,
Infinix Note 10 Pro 8/128 GB - Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/23/8047184e-b352-43ad-a4c1-eb3f0dd746e8.png.webp?ect=4g,Rp2.778.000,5,
SAMSUNG GALAXY M12 4/64 GB SAMSUNG M12 3/32 GB GARANSI RESMI SEIN,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/28/836f597e-24d4-4ecb-b291-39ff0e7ec239.png.webp?ect=4g,Rp1.680.000,5,
IPhone 12 Mini Garansi Resmi Ibox,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/1bdbd918-e808-40b1-84cb-b8fc89948065.png.webp?ect=4g,Rp10.249.000,5,
Infinix Hot 10S 6/128GB - Garansi Resmi Infinix Indonesia,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/24/381b50bc-27a4-4eb1-b21d-af444a029cb5.png.webp?ect=4g,Rp1.996.000,5,
SAMSUNG GALAXY A32 6/128 GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/5/612785c1-6b71-446d-9031-3584df371362.jpg.webp?ect=4g,Rp3.485.000,5,
Infinix Itel Vision 1 Pro 3/32 Ram 3GB Internal 32GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/8/3629d82c-3bb2-4820-9c30-83f1758b69a5.jpg.webp?ect=4g,Rp1.065.000,5,
OPPO A54 GARANSI RESMI OPPO INDONESIA,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/13/0132b06a-4cc0-478b-9ad2-99c67ac6dcb4.jpg.webp?ect=4g,Rp2.310.000,5,
Xiaomi Redmi Note 10 5G 4/128GB + 6/128GB + 8/128GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/2/e2bf9452-4077-43fc-904c-a8a721fa7580.jpg.webp?ect=4g,Rp2.825.000,5,
XIAOMI POCOPHONE POCO M3 - 6GB 128GB - 6/128 GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/25/15e17507-4741-4c54-a282-0511d112e02f.jpg.webp?ect=4g,Rp2.299.900,5,
Evercoss M6A 4/32 Ram 4GB Internal 32GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/attachment/2021/11/29/-1/-1_42dc4325-0892-445e-9a35-399cd1b89c28.jpg.webp?ect=4g,Rp875.000,5,
SAMSUNG GALAXY M32 - NFC - 5000mAh - 8GB 128GB 8/128 - Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg.webp?ect=4g,Rp3.299.900,5,
Redmi Note 10 Pro 6/64GB + 8/128GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/31/5a643563-0f91-4abc-97fa-7f32ab9dbc79.jpg.webp?ect=4g,Rp3.635.000,5,
SAMSUNG GALAXY M62 8/256 GB SAMSUNG M62 8/256 GB GARANSI RESMI SEIN,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/17/2a9abba9-acca-4f6a-b759-1a50e029b708.png.webp?ect=4g,Rp4.740.000,5,
SAMSUNG GALAXY M12 - 5000mAh Battery - 4GB 64GB 4/64 - Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/5/a654e2e6-086f-4d79-897f-d063a9626f52.jpg.webp?ect=4g,Rp1.899.900,5,
XIAOMI REDMI NOTE 10S 8/128 GB REDMI NOTE 10S 6/64 GB GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/24/f0a41dc2-105e-4031-88a9-aa41e6df92ed.png.webp?ect=4g,Rp2.685.000,5,
Oppo F1s 4/32GB,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/25/f7b03a07-0b71-4faf-8a79-e1053cc627ee.jpg.webp?ect=4g,Rp745.000,5,
Apple iPhone 11 128GB/ 64GB Second,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/24/766a67b5-ed78-4d51-8228-4e1a305d8e60.jpg.webp?ect=4g,Rp6.880.008,5,
"New iPhone 13 Pro 256 / 512 / 1TB Graphite, Gold, Silver, Sierra Blue",no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/e30834a7-ed5d-48dd-91d3-a87da2e3e2b0.jpg.webp?ect=4g,Rp17.999.000,5,
Iphone 11 64gb Bekas Fullset,no desc,https://images.tokopedia.net/img/cache/200-square/attachment/2020/2/28/158286678223551/158286678223551_dc10df7a-b3ae-4674-a701-f5be1a835567.png.webp?ect=4g,Rp6.750.000,5,
